district_code,district_name,constituency_code,constituency_name,subcounty_code,subcounty_name,parish_code,parish_name,polling_station_code,polling_station_name,voters
12,KAMPALA,62,KAWEMPE DIVISION NORTH,1,KAWEMPE DIVISION,8,KYEBANDO,10,SERINA PR. SCHOOL (L -NABU),862
32,MUKONO,176,MUKONO COUNTY NORTH,2,KYAMPISI,14,KYABAKADDE,3,NAMANGANGA,364
32,MUKONO,176,MUKONO COUNTY NORTH,4,NAMA,20,NAMAWOJJOLO,2,NAMAWOJJOLO ISLAMIC P/S [A-M],725
32,MUKONO,176,MUKONO COUNTY NORTH,2,KYAMPISI,14,KYABAKADDE,2,KYAMPISI SUBCOUNTY HQTRS  [A-NAJ],481
12,KAMPALA,63,KAWEMPE DIVISION SOUTH,1,KAWEMPE DIVISION,2,BWAISE III,3,LORD'S HARVEST CHURCH,695
12,KAMPALA,63,KAWEMPE DIVISION SOUTH,1,KAWEMPE DIVISION,1,BWAISE II,12,UMARU NYAGO PARKING YARD (A-M),662
98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY,4,KITANDA,16,GAYAAZA,2,MIREMBE PRIMARY SCHOOL,767
12,KAMPALA,62,KAWEMPE DIVISION NORTH,1,KAWEMPE DIVISION,5,KAWEMPE II,2,MPERERWE PRI. SCHOOL (A-K),"1,145"
103,KOLE,1,KOLE SOUTH COUNTY,5,BALA,27,OMUGE,4,TEITEK CENTRE,701
32,MUKONO,176,MUKONO COUNTY NORTH,4,NAMA,7,KASENGE,3,MBALALA S.S.S COMPOUND [A-M].,499
